Location_ID,Latitude,Longitude,Traffic_Density,Pedestrian_Count,Vehicle_Count,Public_Transport,Average_Speed,Commercial_Score,Residential_Score,Green_Space,Morning_Activity,Afternoon_Activity,Evening_Activity,Night_Activity,True_Zone,Cluster
1,17.460355,78.222565,29,406,121,17,21,38,40,90,63,75,79,33,Recreational,1
2,17.447354,78.352985,20,491,70,5,26,31,46,89,67,55,54,56,Recreational,1
3,17.292358,78.29641,17,434,70,13,21,37,33,93,89,48,65,62,Recreational,1
4,17.418684,78.273942,21,563,84,18,31,23,47,87,43,41,45,63,Recreational,1
5,17.30854,78.531495,45,143,113,25,44,17,93,62,79,60,55,54,Residential,3
6,17.357953,78.317395,44,287,223,22,38,24,92,40,64,46,48,33,Residential,3
7,17.540015,78.37978,78,130,891,12,27,20,14,14,78,80,67,16,Industrial,4
8,17.247838,78.485298,85,661,615,34,22,91,17,10,66,74,40,44,Commercial,0
9,17.280688,78.558305,74,817,654,43,26,88,24,19,65,81,99,22,Commercial,0
10,17.230792,78.315901,89,695,787,59,24,86,22,19,82,68,75,22,Commercial,0
11,17.558437,78.327201,16,469,94,18,20,31,41,99,69,50,97,64,Recreational,1
12,17.366964,78.288843,70,976,682,59,39,92,18,7,78,45,47,36,Commercial,0
13,17.484908,78.259235,69,93,651,24,33,39,26,18,88,51,78,11,Industrial,4
14,17.421157,78.437079,96,712,401,31,24,80,10,7,41,83,65,41,Commercial,0
15,17.534121,78.328312,83,66,754,15,29,39,11,10,61,50,87,25,Industrial,4
16,17.269747,78.476375,42,397,451,23,38,65,42,60,58,59,71,16,Mixed,2
17,17.406654,78.304332,27,228,110,27,52,19,82,46,55,65,87,66,Residential,3
18,17.54253,78.361803,85,853,539,34,24,88,18,7,58,87,55,12,Commercial,0
19,17.465401,78.202025,93,715,474,46,27,83,15,12,59,74,87,34,Commercial,0
20,17.323224,78.417016,21,153,167,10,43,30,95,59,47,46,42,26,Residential,3
21,17.340031,78.458041,78,135,874,15,38,25,15,17,47,66,66,43,Industrial,4
22,17.581571,78.565946,74,916,703,48,23,82,26,20,56,83,67,39,Commercial,0
23,17.276364,78.30739,87,86,779,22,41,33,30,19,74,72,91,30,Industrial,4
24,17.343459,78.301665,77,74,722,15,27,27,23,12,89,71,86,31,Industrial,4
25,17.524045,78.546829,21,116,203,10,38,20,95,46,68,81,94,35,Residential,3
26,17.211047,78.431546,67,285,372,39,20,47,53,45,53,51,90,32,Mixed,2
27,17.408897,78.507997,84,107,562,23,41,39,19,10,54,82,99,46,Industrial,4
28,17.590341,78.40652,26,304,152,8,20,32,49,94,74,79,91,25,Recreational,1
29,17.295915,78.237549,76,112,774,21,29,40,18,16,40,40,86,43,Industrial,4
30,17.342389,78.503138,77,836,772,30,35,86,14,10,68,42,51,35,Commercial,0
31,17.396646,78.389389,98,819,468,44,36,93,29,9,51,55,65,35,Commercial,0
32,17.401255,78.542596,99,821,756,52,29,84,13,6,70,49,97,28,Commercial,0
33,17.470867,78.429347,52,253,215,35,42,41,56,57,71,66,59,33,Mixed,2
34,17.227745,78.240311,70,778,500,41,22,80,10,12,49,82,83,38,Commercial,0
35,17.339335,78.574659,48,134,180,17,39,11,98,48,46,43,97,62,Residential,3
36,17.510565,78.336321,35,548,187,9,23,22,46,82,87,75,57,58,Recreational,1
37,17.319054,78.239994,51,432,212,22,28,69,56,46,59,87,64,31,Mixed,2
38,17.236682,78.440976,26,532,196,16,23,26,43,99,58,86,55,62,Recreational,1
39,17.376612,78.555082,35,352,200,13,21,32,50,89,78,53,70,67,Recreational,1
40,17.289031,78.358661,70,67,738,21,33,29,21,5,77,46,85,22,Industrial,4
41,17.52512,78.578899,85,115,504,22,29,25,28,12,87,84,40,31,Industrial,4
42,17.373781,78.301473,82,731,691,35,38,91,16,15,49,65,58,48,Commercial,0
43,17.349948,78.314285,47,225,157,29,37,18,86,40,42,52,67,66,Residential,3
44,17.569857,78.567646,75,716,533,55,31,92,22,17,86,60,55,63,Commercial,0
45,17.451023,78.433726,17,446,69,13,32,34,38,96,53,54,70,10,Recreational,1
46,17.458739,78.355307,80,611,729,45,27,85,21,12,67,47,97,37,Commercial,0
47,17.265047,78.564371,32,327,150,13,18,36,38,80,59,52,67,57,Recreational,1
48,17.265934,78.364502,45,331,455,24,34,64,41,39,69,89,98,54,Mixed,2
49,17.253541,78.205469,87,823,638,46,30,100,26,17,72,73,80,44,Commercial,0
50,17.298939,78.380218,31,496,144,9,20,22,50,84,76,49,49,28,Recreational,1
51,17.208874,78.399266,88,772,604,33,20,96,17,20,73,67,70,17,Commercial,0
52,17.448124,78.481632,86,99,767,10,36,24,26,20,86,62,54,46,Industrial,4
53,17.236401,78.490559,66,87,691,21,26,25,27,6,57,69,54,36,Industrial,4
54,17.536837,78.507567,75,934,429,52,29,98,26,9,68,43,49,65,Commercial,0
55,17.251552,78.251218,19,333,55,9,16,32,40,90,87,50,90,56,Recreational,1
56,17.268928,78.276916,81,65,507,13,32,23,12,20,42,66,68,41,Industrial,4
57,17.251499,78.33204,80,54,591,19,30,20,14,13,51,65,85,43,Industrial,4
58,17.233807,78.438911,68,75,748,24,39,30,25,17,56,65,75,10,Industrial,4
59,17.253247,78.474866,29,426,105,10,28,33,31,92,65,53,98,65,Recreational,1
60,17.284579,78.330999,74,67,793,12,43,34,14,16,49,78,96,26,Industrial,4
61,17.494729,78.423097,31,312,74,8,24,22,38,92,57,86,75,56,Recreational,1
62,17.573477,78.203014,81,682,441,38,24,85,29,14,73,84,45,46,Commercial,0
63,17.232093,78.409805,45,319,311,23,30,69,69,59,70,63,94,18,Mixed,2
64,17.3963,78.489158,43,472,205,21,39,67,50,33,54,45,93,58,Mixed,2
65,17.370175,78.403044,71,934,602,37,38,92,21,9,45,65,93,13,Commercial,0
66,17.437553,78.347692,81,646,400,55,33,85,14,18,50,75,52,52,Commercial,0
67,17.504091,78.438255,24,250,237,21,31,22,87,41,59,40,76,18,Residential,3
68,17.351691,78.57058,89,144,804,14,36,37,23,9,50,48,73,21,Industrial,4
69,17.409226,78.343532,22,566,154,9,28,22,50,84,44,58,98,23,Recreational,1
70,17.430995,78.342145,49,338,495,27,26,47,53,48,77,72,62,24,Mixed,2
71,17.333962,78.255709,33,152,203,17,48,16,98,45,45,42,46,60,Residential,3
72,17.485626,78.397593,40,480,356,25,44,40,68,34,66,72,43,31,Mixed,2
73,17.394543,78.363582,20,217,137,22,44,13,92,63,54,68,47,14,Residential,3
